Performing system checks...

System check identified no issues (0 silenced).
June 10, 2015 - 17:33:43
Django version 1.8.2, using settings 'BGPInspector.settings'
Starting development server at http://127.0.0.1:8000/
Quit the server with CONTROL-C.
         258486 function calls (251489 primitive calls) in 355.578 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.000    0.000 __init__.py:48(make_alias)
        3    0.000    0.000    0.000    0.000 __init__.py:480(CFunctionType)
       17    0.000    0.000    0.000    0.000 __init__.py:481(__copy__)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:513(update)
       14    0.000    0.000    0.000    0.000 __init__.py:528(validators)
        1    0.000    0.000    0.000    0.000 __init__.py:53(Empty)
        3    0.000    0.000    0.005    0.002 __init__.py:54(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:57(NOT_PROVIDED)
        1    0.000    0.000    0.000    0.000 __init__.py:575(BufferingFormatter)
      148    0.000    0.000    0.000    0.000 __init__.py:58(__setitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:617(Filter)
        2    0.000    0.000    0.000    0.000 __init__.py:628(__init__)
       19    0.000    0.000    0.000    0.000 __init__.py:64(configured)
       64    0.000    0.000    0.000    0.000 __init__.py:647(set_attributes_from_name)
        1    0.000    0.000    0.000    0.000 __init__.py:654(Filterer)
       64    0.000    0.000    0.002    0.000 __init__.py:655(contribute_to_class)
       11    0.000    0.000    0.000    0.000 __init__.py:659(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:665(addFilter)
       55    0.000    0.000    0.000    0.000 __init__.py:666(get_attname)
       55    0.000    0.000    0.000    0.000 __init__.py:669(get_attname_column)
        1    0.000    0.000    0.000    0.000 __init__.py:67(<dictcomp>)
        9    0.000    0.000    0.000    0.000 __init__.py:674(get_cache_name)
        2    0.000    0.000    0.001    0.000 __init__.py:7(<module>)
